code,id,name,name_kana,station_size,company_code,color,symbol,closed
1002,0096b0,東海道新幹線,とうかいどうしんかんせん,17,3,#0000FF,NULL,0
1003,4c9e90,山陽新幹線,さんようしんかんせん,19,4,#0000FF,NULL,0
1004,a719bd,東北新幹線,とうほくしんかんせん,23,2,#008000,NULL,0
1005,d4a3f7,上越新幹線,じょうえつしんかんせん,12,2,NULL,NULL,0
1006,0dd500,上越新幹線(上越線),じょうえつしんかんせん(じょうえつせん),2,2,#00B3E6,NULL,0
1009,4e16d0,北陸新幹線,ほくりくしんかんせん,13,2,NULL,NULL,0
1010,6b44b9,九州新幹線,きゅうしゅうしんかんせん,12,6,#FF0000,NULL,0
1011,444fde,北海道新幹線,ほっかいどうしんかんせん,4,1,#2BC431,NULL,0
11101,aaa21c,JR函館本線(函館～長万部),じぇいあーるはこだてほんせん,38,1,#0072BC,NULL,0
11102,1eb104,JR函館本線(長万部～小樽),じぇいあーるはこだてほんせん,19,1,#ED1C23,S,0
11103,1f0306,JR函館本線(小樽～旭川),じぇいあーるはこだてほんせん,43,1,NULL,NULL,0
11104,823dfb,JR室蘭本線(長万部・室蘭～苫小牧),じぇいあーるむろらんほんせん,34,1,#0072BC,NULL,0
11105,96c7b5,JR室蘭本線(苫小牧～岩見沢),じぇいあーるむろらんほんせん,14,1,NULL,NULL,0
11106,60fdd0,JR根室本線(滝川～新得),じぇいあーるねむろほんせん,18,1,#F6989D,T,0
11107,17d497,JR根室本線(新得～釧路),じぇいあーるねむろほんせん,31,1,#8CC63E,K,0
11108,1ed5e3,JR根室本線(花咲線)(釧路～根室),じぇいあーるねむろほんせん(はなせきせん),21,1,NULL,NULL,0
11109,e4b697,JR千歳線,じぇいあーるちとせせん,19,1,NULL,NULL,0
11110,a8d423,JR石勝線,じぇいあーるせきしょうせん,15,1,#8CC63E,NULL,0
11111,2f359f,JR日高本線,じぇいあーるひだかほんせん,29,1,NULL,NULL,0
11112,f32e7c,JR札沼線,じぇいあーるさっしょうせん,30,1,#00A54F,NULL,0
11113,a45680,JR留萌本線,じぇいあーるるもいほんせん,20,1,NULL,NULL,0
11114,a2d866,JR富良野線,じぇいあーるふらのせん,18,1,#AA5EA6,F,0
11115,19f8a4,JR宗谷本線,じぇいあーるそうやほんせん,53,1,#954A35,NULL,0
11116,5c7488,JR石北本線,じぇいあーるせきほくほんせん,42,1,#F7931D,A,0
11117,1dc0f0,JR釧網本線,じぇいあーるせんもうほんせん,28,1,#EF59A1,NULL,0
11118,4030c3,JR海峡線,じぇいあーるかいきょうせん,5,1,#0099FF,NULL,1
11119,0030da,JR江差線,じぇいあーるえさしせん,22,1,NULL,NULL,1
11201,e27da6,JR東北本線(八戸～青森),じぇいあーるとうほくほんせん,20,2,#008000,NULL,1
11202,0494a8,JR奥羽本線(新庄～青森),じぇいあーるおううほんせん,66,2,#FF6600,NULL,0
11231,6d00c9,JR東北本線(黒磯～利府・盛岡),じぇいあーるとうほくほんせん,85,2,#3CB371,NULL,0
11203,ddb025,JR大湊線(はまなすベイライン大湊線),じぇいあーるおおみなとせん,11,2,#F1AA28,NULL,0
11204,0fd853,JR五能線,じぇいあーるごのうせん,43,2,#0C7AAD,NULL,0
11205,6d21eb,JR津軽線,じぇいあーるつがるせん,18,2,#15A2C4,NULL,0
11206,c2efc5,JR八戸線,じぇいあーるはちのへせん,24,2,#E93920,NULL,0
11207,0597e3,JR岩泉線,じぇいあーるいわいずみせん,9,2,#808080,NULL,1
11208,8cbf9c,JR大船渡線(ドラゴンレール大船渡線),じぇいあーるおおふなとせん,39,2,#F18E44,NULL,0
11209,7b973e,JR釜石線(銀河ドリームライン釜石線),じぇいあーるかまいしせん,24,2,#0073BF,NULL,0
11210,862068,JR北上線,じぇいあーるきたかみせん,17,2,#851A72,NULL,0
11211,02c554,JR田沢湖線,じぇいあーるたざわこせん,17,2,#9D72B0,NULL,0
11212,11653a,JR花輪線(十和田八幡平四季彩ライン),じぇいあーるはなわせん(とわだはちまんたいしきさいらいん),27,2,#FF0000,NULL,0
11213,0de295,JR山田線,じぇいあーるやまだせん,18,2,#CD7A1E,NULL,0
11214,ca35da,JR羽越本線,じぇいあーるうえつほんせん,60,2,#75C8FF,NULL,0
11215,7d26f1,JR男鹿線,じぇいあーるおがせん,9,2,#36823E,NULL,0
11216,e4029b,JR奥羽本線(山形線)(福島～新庄),じぇいあーるおううほんせん,36,2,#FFA030,NULL,0
11217,e1c3cf,JR仙山線,じぇいあーるせんざんせん,20,2,#72BC4A,NULL,0
11218,a0f0a8,JR左沢線(フルーツライン左沢線),じぇいあーるあてらざわせん(ふるーつらいんあてらざわせん),12,2,#0073BF,NULL,0
11219,85eecb,JR米坂線,じぇいあーるよねさかせん,20,2,#9E7EB9,NULL,0
11220,1c6980,JR陸羽西線(奥の細道最上川ライン),じぇいあーるりくうさいせん(おくのほそみちもがみがわらいん),10,2,#6FBF7F,NULL,0
11221,9c74cc,JR陸羽東線(奥の細道湯けむりライン),じぇいあーるりくうとうせん(おくのほそみちゆけむりらいん),27,2,#888888,NULL,0
11222,8ad2ff,JR仙石線,じぇいあーるせんせきせん,32,2,#00AAEE,NULL,0
11223,4ed3cd,JR石巻線,じぇいあーるいしのまきせん,14,2,#ED77A4,NULL,0
11224,b999b1,JR気仙沼線,じぇいあーるけせんぬません,27,2,NULL,NULL,0
11225,c7cf37,JR磐越西線(郡山～会津若松),じぇいあーるばんえつさいせん,16,2,#CB7B35,NULL,0
11226,bf4f66,JR磐越西線(森と水とロマンの鉄道),じぇいあーるばんえつさいせん(もりとみずとろまんのてつどう),28,2,#CB7B35,NULL,0
11227,1445ab,JR只見線,じぇいあーるただみせん,38,2,#008DD1,NULL,0
11228,90cd89,JR磐越東線(ゆうゆうあぶくまライン),じぇいあーるばんえつとうせん,16,2,#C71585,NULL,0
11229,e785de,JR常磐線(取手～いわき),じぇいあーるじょうばんせん,35,2,#3333FF,NULL,0
11230,f75599,JR常磐線(いわき～仙台),じぇいあーるじょうばんせん,35,2,#3333FF,NULL,0
11301,ff8c6a,JR東海道本線(東京～熱海),じぇいあーるとうかいどうほんせん,21,2,#F68B1E,JT,0
11302,39b88f,JR山手線,じぇいあーるやまのてせん,30,2,#9ACD32,JY,0
11303,91c205,JR南武線,じぇいあーるなんぶせん,30,2,#FFD400,JN,0
11304,66f6db,JR鶴見線,じぇいあーるつるみせん,13,2,#FFD400,JI,0
11305,dc7c53,JR武蔵野線,じぇいあーるむさしのせん,27,2,#F15A22,JM,0
11306,69b0a0,JR横浜線,じぇいあーるよこはません,20,2,NULL,JH,0
