name,size
東京メトロ丸ノ内線,28
都営新宿線,21
東京メトロ南北線,19
JR中央・総武線,39
東京メトロ有楽町線,24
都営大江戸線,38
東京メトロ東西線,23
都営三田線,27
東京メトロ千代田線,20
東京メトロ副都心線,16
JR中央本線(東京～塩尻),53
JR中央線(快速),24
JR成田エクスプレス,14
JR湘南新宿ライン,16
JR山手線,30
JR埼京線,19
小田急小田原線,47
京王京王線,34
東急東横線,21
東京メトロ銀座線,19
東京メトロ半蔵門線,14
東急田園都市線,27
京王井の頭線,17
東京メトロ日比谷線,22
東北新幹線,23
JR総武本線,31
JR上野東京ライン,2
上越新幹線,12
JR京葉線,18
JR京浜東北線,36
東海道新幹線,17
JR東海道本線(東京～熱海),21
JR横須賀線,19
都営都電荒川線,30
西武池袋線,32
ゆりかもめ,16
都営浅草線,20
東急世田谷線,10
東急目黒線,13
東急池上線,15
東京臨海高速鉄道,8
京急本線,50
東京モノレール,11
JR常磐線(上野～取手),19
JR東北本線(宇都宮線),33
JR高崎線,24
つくばエクスプレス,20
京成成田空港線(成田スカイアクセス),11
京成本線,45
日暮里・舎人ライナー,13
埼玉高速鉄道,8
JR武蔵野線,27
埼玉新都市交通伊奈線,13
東武野田線,35
JR川越線,11
東武東上線,39
西武新宿線,29
東武亀戸線,5
東葉高速鉄道,9
北総鉄道,15
新京成電鉄線,24
流鉄流山線,6
東武伊勢崎線,56
西武国分寺線,5
JR南武線,30
西武多摩川線,6
京王相模原線,12
東急大井町線,18
京急大師線,7
東急多摩川線,7
鉄道院中央本線,1
京成千葉線,10
千葉都市モノレール２号線,13
千葉都市モノレール１号線,6
JR内房線,32
JR外房線,27
京成千原線,6
ディズニーリゾートライン線,4
JR鶴見線,13
JR横浜線,20
みなとみらい線,6
JR根岸線,12
横浜市営地下鉄ブルーライン,32
相鉄本線,18
相鉄新横浜線,3
横浜市営地下鉄グリーンライン,10
東急こどもの国線,3
JR相模線,18
京王高尾線,7
JR八高線(八王子～高麗川),9
多摩モノレール,19
JR青梅線,25
西武多摩湖線,8
京王競馬場線,2
京急空港線,7
京成押上線,7
京成金町線,3
ユーカリが丘線,6
東武大師線,2
小田急多摩線,8
小田急江ノ島線,17
湘南軌道,8
JR御殿場線,19
伊豆箱根鉄道大雄山線,12
箱根登山鉄道,11
相鉄いずみ野線,8
江ノ島電鉄線,15
湘南モノレール,8
京急逗子線,4
金沢シーサイドライン,14
近鉄大阪線,48
京急久里浜線,9
JR高山本線,45
JR八高線(高麗川～高崎),16
JR五日市線,7
西武拝島線,8
JR成田線,28
JR東海道本線(熱海～浜松),35
岳南線,10
JR身延線,39
静岡鉄道静岡清水線,15
大井川鐵道大井川本線,20
天竜浜名湖鉄道,39
JR東海道本線(浜松～岐阜),41
遠州鉄道,18
名鉄名古屋本線,60
JR飯田線(豊橋～天竜峡),51
豊橋鉄道渥美線,16
豊橋鉄道東田本線,14
名鉄蒲郡線,10
愛知環状鉄道,23
名鉄西尾線,14
名鉄三河線,23
JR武豊線,10
名古屋市営地下鉄名城線,28
名鉄常滑線,26
JR中央本線(名古屋～塩尻),40
名古屋市営地下鉄名港線,7
西名古屋港線(あおなみ線),11
近鉄名古屋線,44
名古屋市営地下鉄東山線,22
JR関西本線(名古屋～亀山),18
名古屋市営地下鉄桜通線,21
名鉄犬山線,20
東海交通事業城北線,6
名鉄尾西線,22
名鉄各務原線,18
JR東海道本線(岐阜～美濃赤坂・米原),12
樽見鉄道,19
養老鉄道養老線,27
JR北陸本線(米原～敦賀),12
近江鉄道本線,25
JR東海道本線(琵琶湖線)(米原～京都),20
近江鉄道八日市線,7
JR草津線,11
京阪石山坂本線,21
京阪京津線,7
JR湖西線,22
京都市営地下鉄東西線,17
京阪本線,42
JR奈良線,21
JR山陰本線(嵯峨野線)(京都～園部),16
京都市営地下鉄烏丸線,15
JR東海道本線(京都線)(京都～大阪),17
近鉄京都線,28
阪急京都本線,28
大阪モノレール線,14
阪急千里線,11
山陽新幹線,19
JR福知山線(宝塚線)(大阪～篠山口),23
OsakaMetro御堂筋線,20
OsakaMetro谷町線,26
阪急宝塚本線,19
阪急神戸本線,16
阪神本線,33
JR東海道本線(神戸線)(大阪～神戸),17
JR大阪環状線,19
OsakaMetro千日前線,14
JR桜島線(ゆめ咲線),4
阪神なんば線,11
OsakaMetro中央線,14
OsakaMetro長堀鶴見緑地線,17
JR関西本線(大和路線)(加茂～ＪＲ難波),22
南海高野線(りんかんサンライン),42
南海本線,41
阪堺電軌阪堺線,31
OsakaMetro堺筋線,10
OsakaMetro四つ橋線,11
南海汐見橋線,6
JR東西線,9
JR片町線(学研都市線),24
近鉄南大阪線,28
JR阪和線(天王寺～和歌山),35
阪急今津線,10
阪急甲陽線,3
神戸新交通六甲アイランド線,6
神戸市営地下鉄山手線,8
神戸新交通ポートアイランド線,12
神戸高速東西線,9
神戸市営地下鉄海岸線(夢かもめ),10
JR山陽本線(神戸線)(神戸～姫路),23
神戸高速南北線,2
JR山陽本線(兵庫～和田岬),2
神戸市営地下鉄西神線,9
山陽電鉄本線,43
JR加古川線,21
JR播但線,18
JR山陽本線(姫路～岡山),19
JR姫新線(姫路～佐用),12
伊豆箱根鉄道駿豆線,13
JR伊東線,6
東武日光線,26
JR水戸線,16
JR両毛線,22
東武宇都宮線,12
JR日光線,7
JR烏山線,8
JR東北本線(黒磯～利府・盛岡),85
JR水郡線,46
JR磐越東線(ゆうゆうあぶくまライン),16
JR磐越西線(郡山～会津若松),16
阿武隈急行,24
福島交通飯坂線,12
JR奥羽本線(山形線)(福島～新庄),36
JR常磐線(いわき～仙台),35
仙台空港線,4
仙台市営地下鉄南北線,17
仙台市営地下鉄東西線,13
JR仙山線,20
JR仙石線,32
JR仙石東北ライン,14
鹿島臨海鉄道大洗鹿島線,16
JR常磐線(取手～いわき),35
関東鉄道竜ヶ崎線,3
関東鉄道常総線,25
京王御陵線,2
富士急行,18
JR小海線(八ヶ岳高原線),31
JR篠ノ井線,15
明知鉄道,11
JR太多線,8
名鉄瀬戸線,20
ゆとりーとライン,9
名古屋市営地下鉄鶴舞線,20
JR飯田線(天竜峡～辰野),44
伊勢鉄道,10
JR東金線,5
JR小野田線,12
JR山陽本線(岩国～門司),37
JR羽越本線,60
西鉄天神大牟田線,50
福岡市営地下鉄七隈線,18
JR山陰本線(園部～豊岡),24
札幌市電山鼻線,24
JR上越線,36
JR筑肥線(西唐津～伊万里),14
東武越生線,8
秩父鉄道,37
上信電鉄,21
JR吾妻線,18
上越新幹線(上越線),2
北越急行ほくほく線,12
JR飯山線,31
妙高はねうまライン,10
JR信越本線(直江津～新潟),42
一畑電車北松江線,22
西武豊島線,2
西武有楽町線,3
JR山陰本線(豊岡～米子),41
JR北上線,17
JR鹿児島本線(博多～八代),51
小湊鉄道,18
JR久留里線,14
いすみ鉄道,14
芝山鉄道,2
銚子電鉄線,10
鹿島臨海鉄道鹿島臨港線,2
JR鹿島線,7
ひたちなか海浜鉄道湊線,11
真岡鐵道,17
東武佐野線,10
東武小泉線,9
東武桐生線,8
わたらせ渓谷鐵道,17
上毛電気鉄道,23
JR信越本線,8
北陸新幹線,19
名鉄津島線,8
三岐鉄道北勢線,13
三岐鉄道三岐線,15
近鉄湯の山線,10
近鉄八王子線,4
近鉄内部線,8
四日市あすなろう鉄道内部線,8
四日市あすなろう鉄道八王子線,2
近鉄鈴鹿線,5
JR紀勢本線,41
JR関西本線(亀山～加茂),12
伊賀鉄道伊賀線,15
近鉄奈良線,19
JR桜井線,14
近鉄橿原線,17
近鉄天理線,4
近鉄田原本線,8
近鉄生駒線,12
JR和歌山線,36
近鉄道明寺線,3
JRおおさか東線,15
阪堺電軌上町線,11
近鉄難波線,3
京阪中之島線,5
神戸市営地下鉄北神線,2
神鉄有馬線,15
山陽電鉄網干線,7
JR赤穂線,22
智頭急行,14
岡山電軌東山本線,10
JR津山線,17
岡山電軌清輝橋線,9
JR伯備線,33
JR山陽本線(岡山～三原),20
JR宇野線,15
JR吉備線,10
下津井電鉄,15
JR本四備讃線(瀬戸大橋線),6
井原鉄道,15
水島臨海鉄道,10
JR福塩線,30
JR呉線,32
JR山陽本線(三原～岩国),31
JR芸備線,46
スカイレールサービス,3
広電５系統(比治山線),18
広電２系統(宮島線),41
広電６系統(江波線),20
広電１系統(宇品線),27
JR可部線,16
広電９系統(白島線),5
アストラムライン,22
広電３系統(己斐線),18
広電７系統(都心線),26
広電８系統(横川線),12
JR岩徳線,16
錦川鉄道錦川清流線,13
JR山口線,28
JR宇部線,18
JR美祢線,12
JR山陰本線(益田・仙崎～下関),40
JR鹿児島本線(下関・門司港～博多),33
JR日豊本線(門司港～佐伯),60
JR日田彦山線,29
北九州高速鉄道,13
筑豊電気鉄道,21
JR筑豊本線(若松線)(若松～折尾),6
JR筑豊本線(福北ゆたか線)(折尾～桂川),16
西鉄貝塚線,10
JR香椎線(海の中道線)(西戸崎～香椎),6
JR香椎線(香椎～宇美),11
福岡市営地下鉄箱崎線,7
勝田線,7
JR篠栗線(福北ゆたか線),12
福岡市営地下鉄空港線,13
JR博多南線,2
九州新幹線,12
西鉄太宰府線,3
JR筑豊本線(原田線)(桂川～原田),5
甘木鉄道,11
JR久大本線(ゆふ高原線),37
JR長崎本線(鳥栖～長崎),42
西鉄甘木線,12
JR唐津線,16
JR佐世保線,14
松浦鉄道西九州線(有田～伊万里),11
松浦鉄道西九州線(伊万里～佐世保),47
JR大村線,15
島原鉄道,24
JR筑肥線(姪浜～西唐津),21
JR後藤寺線,6
平成筑豊鉄道伊田線,15
平成筑豊鉄道門司港レトロ観光線,4
JR山陰本線(米子～益田),45
JR三江線,35
一畑電車大社線,5
JR木次線,18
JR境線,16
倉吉線,9
JR因美線,20
京都丹後鉄道宮豊線,13
北近畿タンゴ鉄道宮津線,19
京都丹後鉄道宮福線,14
北近畿タンゴ鉄道宮福線,14
北丹鉄道,8
JR福知山線(篠山口～福知山),10
JR舞鶴線,9
京都丹後鉄道宮舞線,7
嵯峨野観光鉄道,4
阪急嵐山線,4
京福電鉄嵐山本線,13
京福電鉄北野線,10
叡山電鉄叡山本線,8
京阪鴨東線,3
京阪石清水八幡宮参道ケーブル,2
近江鉄道多賀線,3
名鉄竹鼻線,9
名鉄築港線,2
