code,name,ekimemo
1002,東海道新幹線,585
1003,山陽新幹線,586
1004,東北新幹線,588
1005,上越新幹線,589
1006,上越新幹線(上越線),590
1009,北陸新幹線,591
1010,九州新幹線,587
1011,北海道新幹線,625
1012,西九州新幹線,629
11101,JR函館本線(函館～長万部),1
11102,JR函館本線(長万部～小樽),2
11103,JR函館本線(小樽～旭川),3
11104,JR室蘭本線(長万部・室蘭～苫小牧),4
11105,JR室蘭本線(苫小牧～岩見沢),5
11106,JR根室本線(滝川～富良野),6
11107,JR根室本線(新得～釧路),7
11108,JR根室本線(花咲線)(釧路～根室),8
11109,JR千歳線,9
11110,JR石勝線,10
11111,JR日高本線,11
11112,JR札沼線,12
11113,JR留萌本線,13
11114,JR富良野線,14
11115,JR宗谷本線,15
11116,JR石北本線,16
11117,JR釧網本線,17
11118,JR海峡線,18
11119,JR江差線,19
11201,JR東北本線(八戸～青森),20
11202,JR奥羽本線(新庄～青森),21
11231,JR東北本線(黒磯～利府・盛岡),50
11203,JR大湊線(はまなすベイライン大湊線),22
11204,JR五能線,23
11205,JR津軽線,24
11206,JR八戸線,25
11207,JR岩泉線,26
11208,JR大船渡線(ドラゴンレール大船渡線),27
11209,JR釜石線(銀河ドリームライン釜石線),28
11210,JR北上線,29
11211,JR田沢湖線,30
11212,JR花輪線(十和田八幡平四季彩ライン),31
11213,JR山田線,32
11214,JR羽越本線,33
11215,JR男鹿線,34
11216,JR奥羽本線(山形線)(福島～新庄),35
11217,JR仙山線,36
11218,JR左沢線(フルーツライン左沢線),37
11219,JR米坂線,38
11220,JR陸羽西線(奥の細道最上川ライン),39
11221,JR陸羽東線(奥の細道湯けむりライン),40
11222,JR仙石線,41
11223,JR石巻線,42
11224,JR気仙沼線,43
11225,JR磐越西線(郡山～会津若松),44
11226,JR磐越西線(森と水とロマンの鉄道),45
11227,JR只見線,46
11228,JR磐越東線(ゆうゆうあぶくまライン),47
11229,JR常磐線(取手～いわき),48
11230,JR常磐線(いわき～仙台),49
11301,JR東海道本線(東京～熱海),51
11302,JR山手線,52
11303,JR南武線,53
11304,JR鶴見線,54
11305,JR武蔵野線,55
11306,JR横浜線,56
11307,JR根岸線,57
11308,JR横須賀線,58
11309,JR相模線,59
11311,JR中央本線(東京～塩尻),60
11312,JR中央線(快速),61
11313,JR中央・総武線,62
11314,JR総武本線,63
11315,JR青梅線,64
11316,JR五日市線,65
11317,JR八高線(八王子～高麗川),66
11318,JR八高線(高麗川～高崎),67
11319,JR東北本線(宇都宮線),68
11320,JR常磐線(上野～取手),69
11321,JR埼京線,70
11322,JR川越線,71
11323,JR高崎線,72
11324,JR外房線,73
11325,JR内房線,74
11326,JR京葉線,75
11327,JR成田線,76
11328,JR成田エクスプレス,77
11329,JR鹿島線,78
11330,JR久留里線,79
11331,JR東金線,80
11332,JR京浜東北線,81
11333,JR湘南新宿ライン,82
11343,JR上野東京ライン,595
11334,JR烏山線,83
11335,JR吾妻線,84
11337,JR信越本線,85
11338,JR水郡線,86
11339,JR水戸線,87
11340,JR日光線,88
11341,JR両毛線,89
11342,JR上越線,90
11401,JR小海線(八ヶ岳高原線),91
11402,JR身延線,92
11403,JR信越本線(篠ノ井～長野),93
11404,JR信越本線(直江津～新潟),94
11405,JR北陸本線(富山～直江津),95
11406,JR白新線,96
11407,JR飯山線,97
11408,JR越後線,98
11409,JR大糸線,99
11410,JR弥彦線,100
11411,JR中央本線(名古屋～塩尻),101
11412,JR篠ノ井線,102
11413,JR飯田線(豊橋～天竜峡),103
11414,JR飯田線(天竜峡～辰野),104
11415,JR北陸本線(米原～敦賀),105
11416,JR高山本線,106
11417,JR城端線,107
11418,JR氷見線,108
11419,JR七尾線,109
11421,JR越美北線(九頭竜線),110
11422,JR小浜線,111
11501,JR東海道本線(熱海～浜松),112
11502,JR東海道本線(浜松～岐阜),113
11503,JR東海道本線(岐阜～美濃赤坂・米原),114
11504,JR伊東線,115
11505,JR御殿場線,116
11506,JR武豊線,117
11507,JR太多線,118
11508,JR関西本線(名古屋～亀山),119
11509,JR関西本線(亀山～加茂),120
11510,JR紀勢本線,121
11511,JR草津線,122
11512,JR参宮線,123
11513,JR名松線,124
11601,JR東海道本線(琵琶湖線)(米原～京都),125
11602,JR東海道本線(京都線)(京都～大阪),126
11603,JR東海道本線(神戸線)(大阪～神戸),127
11605,JR湖西線,128
11607,JR関西本線(大和路線)(加茂～ＪＲ難波),129
11608,JR山陽本線(神戸線)(神戸～姫路),130
11609,JR山陽本線(姫路～岡山),131
11610,JR山陽本線(岡山～三原),132
11611,JR山陽本線(三原～岩国),133
11612,JR山陽本線(岩国～門司),134
11613,JR山陽本線(兵庫～和田岬),135
11614,JR山陰本線(嵯峨野線)(京都～園部),136
11615,JR山陰本線(園部～豊岡),137
11616,JR山陰本線(豊岡～米子),138
11617,JR片町線(学研都市線),139
11618,JR奈良線,140
11622,JR舞鶴線,141
11623,JR大阪環状線,142
11624,JR桜島線(ゆめ咲線),143
11625,JR東西線,144
11626,JR阪和線(天王寺～和歌山),145
11627,JR阪和線(鳳～東羽衣),146
11628,JR関西空港線,147
11629,JR福知山線(宝塚線)(大阪～篠山口),148
11630,JR福知山線(篠山口～福知山),149
11631,JR赤穂線,150
11632,JR加古川線,151
11633,JR姫新線(姫路～佐用),152
11634,JR姫新線(佐用～新見),153
11635,JR播但線,154
11636,JR和歌山線,155
11637,JR桜井線,156
11639,JR紀勢本線(きのくに線)(新宮～和歌山),157
11640,JR紀勢本線(和歌山～和歌山市),158
11641,JRおおさか東線,159
