code,id,name,original_name,name_kana,lat,lng,prefecture,postal_code,address,closed,open_date,closed_date,impl,attr
1110101,d8aab0,函館,函館,はこだて,41.773709,140.726413,1,040-0063,北海道函館市若松町１２-１３,0,1902-12-10,NULL,1,eco
9910517,e16e64,函館駅前,函館駅前,はこだてえきまえ,41.77264,140.727997,1,040-0063,函館市若松町１５番,0,NULL,NULL,1,heat
1110102,61b622,五稜郭,五稜郭,ごりょうかく,41.803557,140.733539,1,041-0813,函館市亀田本町,0,NULL,NULL,1,eco
1110103,d35955,桔梗,桔梗,ききょう,41.846457,140.722952,1,041-0801,北海道函館市桔梗３丁目４１-３６,0,1902-12-10,NULL,1,heat
1110104,5a1ac2,大中山,大中山,おおなかやま,41.864641,140.71358,1,041-1121,亀田郡七飯町大字大中山,0,NULL,NULL,1,heat
1110105,233872,七飯,七飯,ななえ,41.886971,140.688556,1,041-1111,亀田郡七飯町字本町,0,NULL,NULL,1,heat
101104,fbe0a2,新函館北斗,新函館北斗,しんはこだてほくと,41.9054,140.646525,1,041-1242,北海道北斗市市渡,0,1902-12-10,NULL,1,eco
1110107,e51cf1,仁山,仁山,にやま,41.930011,140.635183,1,041-1101,亀田郡七飯町字仁山,0,NULL,NULL,1,heat
1110108,9c8c93,大沼,大沼,おおぬま,41.971954,140.669347,1,041-1354,北海道亀田郡七飯町字大沼町４,0,1903-06-28,NULL,1,heat
1110109,82d18d,大沼公園,大沼公園,おおぬまこうえん,41.980958,140.669758,1,041-1354,北海道亀田郡七飯町字大沼町８５,0,1907-06-05,NULL,1,cool
1110110,7ea221,赤井川,赤井川,あかいがわ,42.003267,140.642678,1,049-2142,茅部郡森町字赤井川,0,NULL,NULL,1,cool
1110111,a3c96d,駒ヶ岳,駒ヶ岳,こまがたけ,42.038809,140.610476,1,049-2300,北海道茅部郡森町字駒ヶ岳,0,NULL,NULL,1,cool
1110112,469432,東山(北海道),東山,ひがしやま,42.06172,140.605222,1,049-2141,茅部郡森町字駒ケ岳,1,1943-02-26,2017-03-04,1,unknown
1110113,611954,姫川(北海道),姫川,ひめかわ,42.081312,140.591632,1,049-2306,茅部郡森町字姫川,1,1951-05-19,2017-03-04,1,unknown
1110114,95298f,池田園,池田園,いけだえん,41.990692,140.700333,1,041-1352,亀田郡七飯町字軍川,0,NULL,NULL,1,cool
